"V1","V2","V3","V4","V5"
"Row0",0.0377964473009227,0,0,0,0
"Row1",0.0377964473009227,0,0,0,0
"Row2",0.0377964473009227,0,0,0,0
"Row3",0.0377964473009227,0,0,0,0
"Row4",0.0377964473009227,0,0,0,0
"Row5",0.0377964473009227,0,0,0,0
"Row6",0.0377964473009227,0,0,0,0
"Row7",0.0377964473009227,0,0,0,0
"Row8",0.0377964473009227,0,0,0,0
"Row9",0.0377964473009227,0,0,0,0
"Row10",0.0377964473009227,0,0,0,0
"Row11",0.0377964473009227,0,0,0,0
"Row12",0.0377964473009227,0,0,0,0
"Row13",0.0377964473009227,0,0,0,0
"Row14",0.0377964473009227,0,0,0,0
"Row15",0.0377964473009227,0,0,0,0
"Row16",0.0377964473009227,0,0,0,0
"Row17",0.0377964473009227,0,0,0,0
"Row18",0.0377964473009227,0,0,0,0
"Row19",0.0377964473009227,0,0,0,0
"Row20",0.0377964473009227,0,0,0,0
"Row21",0.0377964473009227,0,0,0,0
"Row22",0.0377964473009227,0,0,0,0
"Row23",0.0377964473009227,0,0,0,0
"Row24",0.0377964473009227,0,0,0,0
"Row25",0.0377964473009227,0,0,0,0
"Row26",0.0377964473009227,0,0,0,0
"Row27",0.0377964473009227,0,0,0,0
"Row28",0.0377964473009227,0,0,0,0
"Row29",0.0377964473009227,0,0,0,0
"Row30",0.0377964473009227,0,0,0,0
"Row31",0.0377964473009227,0,0,0,0
"Row32",0.0377964473009227,0,0,0,0
"Row33",0.0377964473009227,0,0,0,0
"Row34",0.0377964473009227,0,0,0,0
"Row35",0.0377964473009227,0,0,0,0
"Row36",0.0377964473009227,0,0,0,0
"Row37",0.0377964473009227,0,0,0,0
"Row38",0.0377964473009227,0,0,0,0
"Row39",0.0377964473009227,0,0,0,0
"Row40",0.0377964473009227,0,0,0,0
"Row41",0.0377964473009227,0,0,0,0
"Row42",0.0377964473009227,0,0,0,0
"Row43",0.0377964473009227,0,0,0,0
"Row44",0.0377964473009227,0,0,0,0
"Row45",0.0377964473009227,0,0,0,0
"Row46",0.0377964473009227,0,0,0,0
"Row47",0.0377964473009227,0,0,0,0
"Row48",0.0377964473009227,0,0,0,0
"Row49",0.0377964473009227,0,0,0,0
"Row50",0.0377964473009227,0,0,0,0
"Row51",0.0377964473009227,0,0,0,0
"Row52",0.0377964473009227,0,0,0,0
"Row53",0.0377964473009227,0,0,0,0
"Row54",0.0377964473009227,0,0,0,0
"Row55",0.0377964473009227,0,0,0,0
"Row56",0.0377964473009227,0,0,0,0
"Row57",0.0377964473009227,0,0,0,0
"Row58",0.0377964473009227,0,0,0,0
"Row59",0.0377964473009227,0,0,0,0
"Row60",0.0377964473009227,0,0,0,0
"Row61",0.0377964473009227,0,0,0,0
"Row62",0.0377964473009227,0,0,0,0
"Row63",0.0377964473009227,0,0,0,0
"Row64",0.0377964473009227,0,0,0,0
"Row65",0.0377964473009227,0,0,0,0
"Row66",0.0377964473009227,0,0,0,0
"Row67",0.0377964473009227,0,0,0,0
"Row68",0.0377964473009227,0,0,0,0
"Row69",0.0377964473009227,0,0,0,0
"Row70",0.0377964473009227,0,0,0,0
"Row71",0.0377964473009227,0,0,0,0
"Row72",0.0377964473009227,0,0,0,0
"Row73",0.0377964473009227,0,0,0,0
"Row74",0.0377964473009227,0,0,0,0
"Row75",0.0377964473009227,0,0,0,0
"Row76",0.0377964473009227,0,0,0,0
"Row77",0.0377964473009227,0,0,0,0
"Row78",0.0377964473009227,0,0,0,0
"Row79",0.0377964473009227,0,0,0,0
"Row80",0.0377964473009227,0,0,0,0
"Row81",0.0377964473009227,0,0,0,0
"Row82",0.0377964473009227,0,0,0,0
"Row83",0.0377964473009227,0,0,0,0
"Row84",0.0377964473009227,0,0,0,0
"Row85",0.0377964473009227,0,0,0,0
"Row86",0.0377964473009227,0,0,0,0
"Row87",0.0377964473009227,0,0,0,0
"Row88",0.0377964473009227,0,0,0,0
"Row89",0.0377964473009227,0,0,0,0
"Row90",0.0377964473009227,0,0,0,0
"Row91",0.0377964473009227,0,0,0,0
"Row92",0.0377964473009227,0,0,0,0
"Row93",0.0377964473009227,0,0,0,0
"Row94",0.0377964473009227,0,0,0,0
"Row95",0.0377964473009227,0,0,0,0
"Row96",0.0377964473009227,0,0,0,0
"Row97",0.0377964473009227,0,0,0,0
"Row98",0.0377964473009227,0,0,0,0
"Row99",0.0377964473009227,0,0,0,0
"Row100",0.0377964473009227,0.043169211161173,0,0,0
"Row101",0.0377964473009227,0.0345337552769181,0,0.0458383289592938,0
"Row102",0.0377964473009227,0.0435690535263545,0,0,0
"Row103",0.0377964473009227,0.0472507704529621,0,0,0
"Row104",0.0377964473009227,0.0451214202214833,0,0,0
"Row105",0.0377964473009227,0.0312795269037871,0,0,0
"Row106",0.0377964473009227,0,0,0,0
"Row107",0.0377964473009227,0.0376157712381794,0,0,0
"Row108",0.0377964473009227,0.0404987041132443,0,0,0
"Row109",0.0377964473009227,0.0469735241030402,0,0.0550328356893096,0
"Row110",0.0377964473009227,0.0421265891088887,0,0,0
"Row111",0.0377964473009227,0.0351340761504779,0,0,0
"Row112",0.0377964473009227,0.0403648332253739,0,0,0
"Row113",0.0377964473009227,0,0,0,0
"Row114",0.0377964473009227,0.0404867327730391,0,0,0
"Row115",0.0377964473009227,0.0548356143054075,0,0,0
"Row116",0.0377964473009227,0,0,0,0
"Row117",0.0377964473009227,0.0471330354218464,0,0,0
"Row118",0.0377964473009227,0.0424499849813851,0,0,0
"Row119",0.0377964473009227,0.0423802513293832,0,0.0229120746371638,0
"Row120",0.0377964473009227,0.0417416921247633,0,0,0
"Row121",0.0377964473009227,0.0543312340588715,0,0.0308578880960214,0
"Row122",0.0377964473009227,0.0610343315269797,0,0,0
"Row123",0.0377964473009227,0.0314622976369253,0,0,0
"Row124",0.0377964473009227,0.0343469191295414,0,0,0.0301780810652184
"Row125",0.0377964473009227,0.0367077189235382,0,0,0
"Row126",0.0377964473009227,0.0319639022335542,0,0,0
"Row127",0.0377964473009227,0.0330298833482427,0,0,0
"Row128",0.0377964473009227,0.0298879249597867,0,0,0
"Row129",0.0377964473009227,0.0431461210104796,0,0,0
"Row130",0.0377964473009227,0.0447711742895096,0,0,0
"Row131",0.0377964473009227,0.056603389171773,0,0,0
"Row132",0.0377964473009227,0.0572723504757787,0,0.039371305992135,0
"Row133",0.0377964473009227,0.0574850241158982,0,0,0
"Row134",0.0377964473009227,0.0458051819927375,0,0,0
"Row135",0.0377964473009227,0,0,0,0
"Row136",0.0377964473009227,0.0555337578442898,0,0,0
"Row137",0.0377964473009227,0.0495146881935764,0,0,0
"Row138",0.0377964473009227,0.0577333426538322,0,0,0
"Row139",0.0377964473009227,0.0701959298873158,0,0,0
"Row140",0.0377964473009227,0.0225117536185103,0,0,0
"Row141",0.0377964473009227,0.0240274813234897,0,0,0
"Row142",0.0377964473009227,0.0445365484022416,0,0,0
"Row143",0.0377964473009227,0.0254227930121938,0,0,0
"Row144",0.0377964473009227,0,0,0,0
"Row145",0.0377964473009227,0.0355372796244522,0,0,0
"Row146",0.0377964473009227,0.0462587303741266,0,0,0
"Row147",0.0377964473009227,0,0,0,0
"Row148",0.0377964473009227,0.0527029916036251,0,0,0
"Row149",0.0377964473009227,0.054129848320139,0,0.0321169518529074,0
"Row150",0.0377964473009227,0,0,0,0
"Row151",0.0377964473009227,0,0,0,0
"Row152",0.0377964473009227,0.0547963586357695,0,0,0
"Row153",0.0377964473009227,0.0425084836911631,0,0.0410080850154124,0
"Row154",0.0377964473009227,0.0253033477096367,0,0,0
"Row155",0.0377964473009227,0.0398166807407761,0,0,0
"Row156",0.0377964473009227,0.031737196179247,0,0.0544220301262387,0
"Row157",0.0377964473009227,0.0250962612985407,0,0,0
"Row158",0.0377964473009227,0.0356929067399879,0,0.0263757501577695,0
"Row159",0.0377964473009227,0.0453529829166785,0,0.0278017433778909,0
"Row160",0.0377964473009227,0.0550479726469772,0,0,0.0314638808096985
"Row161",0.0377964473009227,0.0362027585541251,0,0,0
"Row162",0.0377964473009227,0.0570035046033085,0,0,0
"Row163",0.0377964473009227,0.0479334635654636,0,0,0
"Row164",0.0377964473009227,0.044381218548955,0,0.0242733546150776,0
"Row165",0.0377964473009227,0,0,0,0
"Row166",0.0377964473009227,0,0,0,0
"Row167",0.0377964473009227,0.0294277645757924,0,0,0
"Row168",0.0377964473009227,0.0412675968620915,0,0,0
"Row169",0.0377964473009227,0.0547645117070916,0,0.0252799861900295,0
"Row170",0.0377964473009227,0.0469121151248524,0,0,0
"Row171",0.0377964473009227,0.0357447821257268,0,0,0
"Row172",0.0377964473009227,0.047647269605796,0,0,0
"Row173",0.0377964473009227,0.045201152043906,0,0,0
"Row174",0.0377964473009227,0.0460855181650143,0,0,0
"Row175",0.0377964473009227,0.0492060409291806,0,0.0283366594984194,0
"Row176",0.0377964473009227,0.0227357452216118,0,0.02826219321615,0
"Row177",0.0377964473009227,0.0342137691304829,0,0,0
"Row178",0.0377964473009227,0,0,0,0
"Row179",0.0377964473009227,0,0,0,0
"Row180",0.0377964473009227,0.0635924778184711,0,0,0
"Row181",0.0377964473009227,0.0420264721893405,0,0,0
"Row182",0.0377964473009227,0.0408660084503807,0,0.0273868561118643,0
"Row183",0.0377964473009227,0,0,0,0
"Row184",0.0377964473009227,0,0,0,0
"Row185",0.0377964473009227,0.0480905647591157,0,0,0
"Row186",0.0377964473009227,0.0544698474599572,0,0,0
"Row187",0.0377964473009227,0.0295222962135016,0,0,0
"Row188",0.0377964473009227,0.0393602519477844,0,0,0
"Row189",0.0377964473009227,0.0337684751523972,0,0,0
"Row190",0.0377964473009227,0.0313438158319407,0,0,0
"Row191",0.0377964473009227,0.0418372928468639,0,0.0410808060615101,0
"Row192",0.0377964473009227,0.0478648830265821,0,0,0
"Row193",0.0377964473009227,0.0303543070906901,0,0.0292724665928231,0
"Row194",0.0377964473009227,0,0,0,0
"Row195",0.0377964473009227,0.0256674376821813,0,0,0
"Row196",0.0377964473009227,0.0333245288942213,0,0,0.027134723363514
"Row197",0.0377964473009227,0.0378608232517794,0,0,0
"Row198",0.0377964473009227,0.0532283453191999,0,0,0
"Row199",0.0377964473009227,0.0311606485752815,0,0.03399012956248,0
"Row200",0.0377964473009227,0,0.0528348086977154,0,0
"Row201",0.0377964473009227,0,0.0467552757678939,0,0
"Row202",0.0377964473009227,0,0.0320651328560902,0,0
"Row203",0.0377964473009227,0,0.0451303985988319,0,0
"Row204",0.0377964473009227,0,0.0310368122198454,0,0
"Row205",0.0377964473009227,0,0.0310238693961501,0,0
"Row206",0.0377964473009227,0,0.0383475708351961,0,0
"Row207",0.0377964473009227,0,0.0430579030733537,0,0
"Row208",0.0377964473009227,0,0.0579491735830125,0,0
"Row209",0.0377964473009227,0,0.0294314827954649,0,0
"Row210",0.0377964473009227,0,0,0,0
"Row211",0.0377964473009227,0,0.0551688575014487,0,0
"Row212",0.0377964473009227,0,0.0409250437966891,0,0
"Row213",0.0377964473009227,0,0.0284460227817669,0,0
"Row214",0.0377964473009227,0,0.0382317274795852,0,0
"Row215",0.0377964473009227,0,0.0329553775171861,0,0
"Row216",0.0377964473009227,0,0.0361216586632077,0,0
"Row217",0.0377964473009227,0,0,0,0
"Row218",0.0377964473009227,0,0.0528678825380121,0,0
"Row219",0.0377964473009227,0,0.0678394301687769,0,0
"Row220",0.0377964473009227,0,0.0372600553563077,0,0
"Row221",0.0377964473009227,0,0.0458099190341482,0,0
"Row222",0.0377964473009227,0,0.0583650731026597,0,0
"Row223",0.0377964473009227,0,0.0393654998105556,0,0
"Row224",0.0377964473009227,0,0.0340553174745995,0,0
"Row225",0.0377964473009227,0,0.0297899891622657,0,0
"Row226",0.0377964473009227,0,0,0,0
"Row227",0.0377964473009227,0,0.0467692154483516,0,0
"Row228",0.0377964473009227,0,0.0478239341235504,0,0
"Row229",0.0377964473009227,0,0.0331823637858721,0,0
"Row230",0.0377964473009227,0,0.0456091252185979,0,0
"Row231",0.0377964473009227,0,0.0339317120553686,0,0
"Row232",0.0377964473009227,0,0,0,0
"Row233",0.0377964473009227,0,0.0281758898015394,0,0
"Row234",0.0377964473009227,0,0,0,0
"Row235",0.0377964473009227,0,0.0432084939117346,0,0
"Row236",0.0377964473009227,0,0.0460955340332265,0,0
"Row237",0.0377964473009227,0,0.0419754721388844,0,0
"Row238",0.0377964473009227,0,0.0502849371952364,0,0
"Row239",0.0377964473009227,0,0.0435297708888103,0,0
"Row240",0.0377964473009227,0,0.0326417171717526,0,0
"Row241",0.0377964473009227,0,0.0275339756448701,0,0
"Row242",0.0377964473009227,0,0.0329618298797439,0,0
"Row243",0.0377964473009227,0,0.0328410779165216,0,0
"Row244",0.0377964473009227,0,0.0403697430207358,0,0
"Row245",0.0377964473009227,0,0.0470424838500871,0,0
"Row246",0.0377964473009227,0,0.0456535239128873,0,0
"Row247",0.0377964473009227,0,0.0395818647536297,0,0
"Row248",0.0377964473009227,0,0.0546634673604979,0,0
"Row249",0.0377964473009227,0,0.055598190963383,0,0
"Row250",0.0377964473009227,0,0.0509767511002187,0,0
"Row251",0.0377964473009227,0,0.0518173638527011,0,0
"Row252",0.0377964473009227,0,0.0302132799613864,0,0
"Row253",0.0377964473009227,0,0.0501684516139164,0,0
"Row254",0.0377964473009227,0,0.0375793086966255,0,0
"Row255",0.0377964473009227,0,0.0547028394129309,0,0
"Row256",0.0377964473009227,0,0.0449811267600982,0,0
"Row257",0.0377964473009227,0,0,0,0
"Row258",0.0377964473009227,0,0.03905331293927,0,0
"Row259",0.0377964473009227,0,0.0443298199056101,0,0
"Row260",0.0377964473009227,0,0.0577307725452596,0,0
"Row261",0.0377964473009227,0,0.0331879138498355,0,0
"Row262",0.0377964473009227,0,0.0423208922625024,0,0
"Row263",0.0377964473009227,0,0.0276117320485653,0,0
"Row264",0.0377964473009227,0,0.0352132316236518,0,0
"Row265",0.0377964473009227,0,0.0393728865155969,0,0
"Row266",0.0377964473009227,0,0,0,0
"Row267",0.0377964473009227,0,0,0,0
"Row268",0.0377964473009227,0,0.0423036326934406,0,0
"Row269",0.0377964473009227,0,0.0515718477814635,0,0
"Row270",0.0377964473009227,0,0,0,0
"Row271",0.0377964473009227,0,0.052282335102233,0,0
"Row272",0.0377964473009227,0,0.0584494197470236,0,0
"Row273",0.0377964473009227,0,0,0,0
"Row274",0.0377964473009227,0,0.034729325332676,0,0
"Row275",0.0377964473009227,0,0.047487457074006,0,0
"Row276",0.0377964473009227,0,0,0,0
"Row277",0.0377964473009227,0,0.0544198662692864,0,0
"Row278",0.0377964473009227,0,0,0,0
"Row279",0.0377964473009227,0,0.0292136867353895,0,0
"Row280",0.0377964473009227,0,0.0703804850906391,0,0
"Row281",0.0377964473009227,0,0.0571040235240527,0,0
"Row282",0.0377964473009227,0,0.0325969889530724,0,0
"Row283",0.0377964473009227,0,0.0493050507225141,0,0
"Row284",0.0377964473009227,0,0.041829737620316,0,0
"Row285",0.0377964473009227,0,0.0529689635684296,0,0
"Row286",0.0377964473009227,0,0.0528453420346329,0,0
"Row287",0.0377964473009227,0,0,0,0
"Row288",0.0377964473009227,0,0.0523787674809104,0,0
"Row289",0.0377964473009227,0,0.0405410039866993,0,0
"Row290",0.0377964473009227,0,0.0409382180609525,0,0
"Row291",0.0377964473009227,0,0.056434715454769,0,0
"Row292",0.0377964473009227,0,0.0577687306880148,0,0
"Row293",0.0377964473009227,0,0.0570043477732736,0,0
"Row294",0.0377964473009227,0,0.0511013180424339,0,0
"Row295",0.0377964473009227,0,0.0287669947301829,0,0
"Row296",0.0377964473009227,0,0.030496087022024,0,0
"Row297",0.0377964473009227,0,0.0450492130608582,0,0
"Row298",0.0377964473009227,0,0.0507370568904282,0,0
"Row299",0.0377964473009227,0,0.0312015542495899,0,0
"Row300",0.0377964473009227,0.0805107148354486,0,0,0.0545799560502925
"Row301",0.0377964473009227,0.0750037908797854,0,0,0.0902117918070255
"Row302",0.0377964473009227,0.0750148520871704,0,0,0.102364536059238
"Row303",0.0377964473009227,0.0919841579480008,0,0,0.0983834981051917
"Row304",0.0377964473009227,0.0591021043132422,0,0,0.120206206472677
"Row305",0.0377964473009227,0.0751106361242054,0,0,0.0790150475092641
"Row306",0.0377964473009227,0.0427515558118151,0,0,0.159683169838383
"Row307",0.0377964473009227,0.0938141182791522,0,0,0.0988073978267239
"Row308",0.0377964473009227,0.0535363217731236,0,0,0.0885428100683382
"Row309",0.0377964473009227,0.0687108164859061,0,0,0.0877759550203812
"Row310",0.0377964473009227,0.0500724014143509,0,0,0.0824073777262059
"Row311",0.0377964473009227,0.0687737229994443,0,0,0.118622138847142
"Row312",0.0377964473009227,0.043774040985413,0,0,0.104805796974655
"Row313",0.0377964473009227,0.0619935487742511,0,0,0.119714633300639
"Row314",0.0377964473009227,0.074650110231997,0,0,0.0863441205775703
"Row315",0.0377964473009227,0.0647454559489101,0,0,0.100384403776661
"Row316",0.0377964473009227,0.0527170921413022,0,0,0.0810486533879747
"Row317",0.0377964473009227,0.0760308800836162,0,0,0.0486076705547729
"Row318",0.0377964473009227,0.0575868008013461,0,0,0.0873954899761499
"Row319",0.0377964473009227,0.0561535834145461,0,0,0.133415731613659
"Row320",0.0377964473009227,0.0650964197513803,0,0,0.108137690326111
"Row321",0.0377964473009227,0.0446632380149463,0,0,0.0854087658933028
"Row322",0.0377964473009227,0.0557240675041684,0,0,0.0969315298068952
