"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"Row0",0.0258198889747161,-0.00171638348335575,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row1",0.0258198889747161,-0.000593905746336263,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row2",0.0258198889747161,0.00216619866239206,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row3",0.0258198889747161,0.000156261975739594,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row4",0.0258198889747161,-0.00220452147340613,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row5",0.0258198889747161,-0.00169952762537328,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row6",0.0258198889747161,0.00109651595755692,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row7",0.0258198889747161,-0.001281366909502,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row8",0.0258198889747161,-0.00193561438705284,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row9",0.0258198889747161,-0.000567064246432918,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row10",0.0258198889747161,-0.00252956794517865,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row11",0.0258198889747161,-0.000720424890632577,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row12",0.0258198889747161,0.000968145522737063,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row13",0.0258198889747161,-0.000723544336102392,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row14",0.0258198889747161,-0.00183856984537058,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row15",0.0258198889747161,-0.00205264051596591,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row16",0.0258198889747161,-0.00192184361023888,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row17",0.0258198889747161,-0.00060699650268989,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row18",0.0258198889747161,-0.00172225453840128,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row19",0.0258198889747161,-0.00321686172204343,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row20",0.0258198889747161,-0.000435788257282985,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row21",0.0258198889747161,-0.00339054486565482,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row22",0.0258198889747161,-0.000340134885983122,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row23",0.0258198889747161,-0.000199019614069476,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row24",0.0258198889747161,-0.000970372918166695,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row25",0.0258198889747161,-0.000413333070957973,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row26",0.0258198889747161,-0.00201571948251433,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row27",0.0258198889747161,0.000884698757683086,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row28",0.0258198889747161,-0.00237578520163521,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row29",0.0258198889747161,-0.000229404292899449,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row30",0.0258198889747161,0.000160017579306576,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row31",0.0258198889747161,-0.00166425524136735,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row32",0.0258198889747161,-0.000576952691061452,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row33",0.0258198889747161,-0.00046077219922328,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row34",0.0258198889747161,-3.08093542254398e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row35",0.0258198889747161,-0.00180726263066094,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row36",0.0258198889747161,-0.00110780579132584,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row37",0.0258198889747161,-0.0015194421808677,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row38",0.0258198889747161,0.00194647390308569,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row39",0.0258198889747161,-0.00222354327783531,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row40",0.0258198889747161,-0.00186633364704403,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row41",0.0258198889747161,-0.000160311939219624,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row42",0.0258198889747161,-0.00118601262867665,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row43",0.0258198889747161,-0.00144900783676667,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row44",0.0258198889747161,0.00155680788470977,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row45",0.0258198889747161,-0.000609386995760205,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row46",0.0258198889747161,0.000864976670512561,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row47",0.0258198889747161,0.000549469548797139,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row48",0.0258198889747161,-0.00048210369515653,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row49",0.0258198889747161,-0.00121399375270234,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row50",0.0258198889747161,-0.00292174669449357,0,0,0,0,0,0,0,0,0,0,0,0,0,0
