"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18"
"Row0",0.0179605302026775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row1",0.0179605302026775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row2",0.0179605302026775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row3",0.0179605302026775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row4",0.0179605302026775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row5",0.0179605302026775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row6",0.0179605302026775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row7",0.0179605302026775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row8",0.0179605302026775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row9",0.0179605302026775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row10",0.0179605302026775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row11",0.0179605302026775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row12",0.0179605302026775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row13",0.0179605302026775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row14",0.0179605302026775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row15",0.0179605302026775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row16",0.0179605302026775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row17",0.0179605302026775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row18",0.0179605302026775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row19",0.0179605302026775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row20",0.0179605302026775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row21",0.0179605302026775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row22",0.0179605302026775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row23",0.0179605302026775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row24",0.0179605302026775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row25",0.0179605302026775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row26",0.0179605302026775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row27",0.0179605302026775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row28",0.0179605302026775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row29",0.0179605302026775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row30",0.0179605302026775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row31",0.0179605302026775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row32",0.0179605302026775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row33",0.0179605302026775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row34",0.0179605302026775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row35",0.0179605302026775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row36",0.0179605302026775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row37",0.0179605302026775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row38",0.0179605302026775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row39",0.0179605302026775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row40",0.0179605302026775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row41",0.0179605302026775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row42",0.0179605302026775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row43",0.0179605302026775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row44",0.0179605302026775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row45",0.0179605302026775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row46",0.0179605302026775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row47",0.0179605302026775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row48",0.0179605302026775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row49",0.0179605302026775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row50",0.0179605302026775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row51",0.0179605302026775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row52",0.0179605302026775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row53",0.0179605302026775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row54",0.0179605302026775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row55",0.0179605302026775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row56",0.0179605302026775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row57",0.0179605302026775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row58",0.0179605302026775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row59",0.0179605302026775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row60",0.0179605302026775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row61",0.0179605302026775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row62",0.0179605302026775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row63",0.0179605302026775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row64",0.0179605302026775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row65",0.0179605302026775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row66",0.0179605302026775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row67",0.0179605302026775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row68",0.0179605302026775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row69",0.0179605302026775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row70",0.0179605302026775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row71",0.0179605302026775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row72",0.0179605302026775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row73",0.0179605302026775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row74",0.0179605302026775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row75",0.0179605302026775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row76",0.0179605302026775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row77",0.0179605302026775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row78",0.0179605302026775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row79",0.0179605302026775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row80",0.0179605302026775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row81",0.0179605302026775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row82",0.0179605302026775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row83",0.0179605302026775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row84",0.0179605302026775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row85",0.0179605302026775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row86",0.0179605302026775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row87",0.0179605302026775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row88",0.0179605302026775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row89",0.0179605302026775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row90",0.0179605302026775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row91",0.0179605302026775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row92",0.0179605302026775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row93",0.0179605302026775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row94",0.0179605302026775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row95",0.0179605302026775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row96",0.0179605302026775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row97",0.0179605302026775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row98",0.0179605302026775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row99",0.0179605302026775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row100",0.0179605302026775,0,0.0168159901005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row101",0.0179605302026775,0,0.0162492883156434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row102",0.0179605302026775,0,0.0150987714465739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row103",0.0179605302026775,0,0.01100350205894,0,0,0.012811510170921,0,0,0,0,0,0,0,0,0,0,0,0
"Row104",0.0179605302026775,0,0.0161470049480241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row105",0.0179605302026775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row106",0.0179605302026775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row107",0.0179605302026775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row108",0.0179605302026775,0,0.0106659032691538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row109",0.0179605302026775,0,0.0182167754869913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row110",0.0179605302026775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row111",0.0179605302026775,0,0.0158638624305576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row112",0.0179605302026775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row113",0.0179605302026775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row114",0.0179605302026775,0,0.0168613684017047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row115",0.0179605302026775,0,0.0189251019585524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row116",0.0179605302026775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row117",0.0179605302026775,0,0.0132321789925253,0,0,0.0154245198828889,0,0,0,0,0,0,0,0,0,0,0,0
"Row118",0.0179605302026775,0,0.0183337429797517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row119",0.0179605302026775,0,0.0210036003735041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row120",0.0179605302026775,0,0.0171058332314072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row121",0.0179605302026775,0,0.0199812697614092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row122",0.0179605302026775,0,0.0179999772337079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row123",0.0179605302026775,0,0.0141096196094183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row124",0.0179605302026775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row125",0.0179605302026775,0,0.0134571206808437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row126",0.0179605302026775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row127",0.0179605302026775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row128",0.0179605302026775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row129",0.0179605302026775,0,0.0163380830678881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row130",0.0179605302026775,0,0.0128013724222347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row131",0.0179605302026775,0,0.0199768090555703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row132",0.0179605302026775,0,0.0212415815678609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row133",0.0179605302026775,0,0.0203195870075043,0,0,0.0108932799918087,0,0,0,0,0,0,0,0,0,0,0,0
"Row134",0.0179605302026775,0,0.019726587233304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row135",0.0179605302026775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row136",0.0179605302026775,0,0.0177673988355344,0,0,0.0124815727998045,0,0,0,0,0,0,0,0,0,0,0,0
"Row137",0.0179605302026775,0,0.0213887775019806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row138",0.0179605302026775,0,0.0176988172305272,0,0,0.0115527611911574,0,0,0,0,0,0,0,0,0,0,0,0
"Row139",0.0179605302026775,0,0.0225837306187674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row140",0.0179605302026775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row141",0.0179605302026775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row142",0.0179605302026775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row143",0.0179605302026775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row144",0.0179605302026775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row145",0.0179605302026775,0,0.0119085627931891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row146",0.0179605302026775,0,0.0137212985418383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row147",0.0179605302026775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row148",0.0179605302026775,0,0.0143202661645635,0,0,0.0158299647677276,0,0,0,0,0,0,0,0,0,0,0,0
"Row149",0.0179605302026775,0,0.021622457042851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row150",0.0179605302026775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row151",0.0179605302026775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row152",0.0179605302026775,0,0.0136757442351816,0,0,0.0138881236216356,0,0,0,0,0,0,0,0,0,0,0,0
"Row153",0.0179605302026775,0,0.0163926074989926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row154",0.0179605302026775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row155",0.0179605302026775,0,0.0166527541224652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row156",0.0179605302026775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row157",0.0179605302026775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row158",0.0179605302026775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row159",0.0179605302026775,0,0.0161621684094867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row160",0.0179605302026775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row161",0.0179605302026775,0,0.0150962008501853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row162",0.0179605302026775,0,0.0163756101807584,0,0,0.0125612625105542,0,0,0,0,0,0,0,0,0,0,0,0
"Row163",0.0179605302026775,0,0.0175211613843198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row164",0.0179605302026775,0,0.0167033780718766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row165",0.0179605302026775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row166",0.0179605302026775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row167",0.0179605302026775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row168",0.0179605302026775,0,0.0136878011712533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row169",0.0179605302026775,0,0.0133595304126152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row170",0.0179605302026775,0,0.0161115352665619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row171",0.0179605302026775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row172",0.0179605302026775,0,0.0179498909217468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row173",0.0179605302026775,0,0.0176769629082578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row174",0.0179605302026775,0,0.0190946594863542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row175",0.0179605302026775,0,0.018173027614569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row176",0.0179605302026775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row177",0.0179605302026775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row178",0.0179605302026775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row179",0.0179605302026775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row180",0.0179605302026775,0,0.0179473244296542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row181",0.0179605302026775,0,0.0108285078589508,0,0,0.012453939299554,0,0,0,0,0,0,0,0,0,0,0,0
"Row182",0.0179605302026775,0,0.018402275552872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
