"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"Row0",0.0379049021789452,0.0012984089252934,0,0,0,0,0,0,0,0
"Row1",0.0379049021789452,0.000937018890087139,0,0,0,0,0,0,0,0
"Row2",0.0379049021789452,0.000179637128203403,0,0,0,0,0,0,0,0
"Row3",0.0379049021789452,0.000226377540186597,0,0,0,0,0,0,0,0
"Row4",0.0379049021789452,0.000165564169148663,0,0,0,0,0,0,0,0
"Row5",0.0379049021789452,0.00015063232465231,0,0,0,0,0,0,0,0
"Row6",0.0379049021789452,0.000340451377794382,0,0,0,0,0,0,0,0
"Row7",0.0379049021789452,-7.13344482728511e-05,0,0,0,0,0,0,0,0
"Row8",0.0379049021789452,-0.00060103860585121,0,0,0,0,0,0,0,0
"Row9",0.0379049021789452,-0.000774719925157102,0,0,0,0,0,0,0,0
"Row10",0.0379049021789452,-0.000811016031647836,0,0,0,0,0,0,0,0
"Row11",0.0379049021789452,-0.00074452784643046,0,0,0,0,0,0,0,0
"Row12",0.0379049021789452,-0.000834586722812382,0,0,0,0,0,0,0,0
"Row13",0.0379049021789452,-0.0026583209515742,0,0,0,0,0,0,0,0
"Row14",0.0379049021789452,-0.00271567936055165,0,0,0,0,0,0,0,0
"Row15",0.0379049021789452,-0.00332428493009115,0,0,0,0,0,0,0,0
"Row16",0.0379049021789452,-0.00345018252795409,0,0,0,0,0,0,0,0
"Row17",0.0379049021789452,-0.00374849571987306,0,0,0,0,0,0,0,0
"Row18",0.0379049021789452,-0.00383182810971282,0,0,0,0,0,0,0,0
"Row19",0.0379049021789452,-0.00498613574497547,0,0,0,0,0,0,0,0
"Row20",0.0379049021789452,-0.00588793121288628,0,0,0,0,0,0,0,0
"Row21",0.0379049021789452,-0.00636493571689369,0,0,0,0,0,0,0,0
"Row22",0.0379049021789452,-0.0082559231251721,0,0,0,0,0,0,0,0
"Row23",0.0379049021789452,-0.00831995634399394,0,0,0,0,0,0,0,0
"Row24",0.0379049021789452,-0.00824256142043,0,0,0,0,0,0,0,0
"Row25",0.0379049021789452,-0.0084350801448893,0,0,0,0,0,0,0,0
"Row26",0.0379049021789452,-0.00891839345515767,0,0,0,0,0,0,0,0
"Row27",0.0379049021789452,-0.00971452922558201,0,0,0,0,0,0,0,0
"Row28",0.0379049021789452,-0.0101834792283498,0,0.00707744095073481,0,0,0,0,0,0
"Row29",0.0379049021789452,-0.0112873522427981,0,0.00730529303797194,0,0,0,0,0,0
"Row30",0.0379049021789452,-0.0113095067894917,0,0.00725741028489344,0,0,0,0,0,0
"Row31",0.0379049021789452,-0.0115672958249146,0,0.00717353184535701,0,0,0,0,0,0
"Row32",0.0379049021789452,-0.0130025979873259,0,0.00759968778871409,0,0,0,0,0,0
"Row33",0.0379049021789452,-0.0129858723346092,0,0.00776285256424823,0,0,0,0,0,0
"Row34",0.0379049021789452,-0.0142125867929965,0,0.00755842629826542,0,0,0,0,0,0
"Row35",0.0379049021789452,-0.0149623565053663,0,0.00828680696944233,0,0,0,0,0,0
"Row36",0.0379049021789452,-0.0158357090917829,0,0.00832083754752014,0,0,0,0,0,0
"Row37",0.0379049021789452,-0.0159313653143803,0,0.00823224558259056,0,0,0,0,0,0
"Row38",0.0379049021789452,-0.01621384069073,0,0.00786901877361672,0,0,0,0,0,0
"Row39",0.0379049021789452,-0.0162867956687471,0,0.00791961287864214,0,0,0,0,0,0
"Row40",0.0379049021789452,-0.0164525428975653,0,0.00797330627361102,0,0,0,0,0,0
"Row41",0.0379049021789452,-0.0166600753835561,0,0.00806479915840028,0,0,0,0,0,0
"Row42",0.0379049021789452,-0.0171140854117375,0,0.00887983463829512,0,0,0,0,0,0
"Row43",0.0379049021789452,-0.0170582734856188,0,0.00925434274886001,0,0,0,0,0,0
"Row44",0.0379049021789452,-0.0173024566691718,0,0.0093457413162517,0,0,0,0,0,0
"Row45",0.0379049021789452,-0.0175986670785072,0,0.00997167271180398,0,0,0,0,0,0
"Row46",0.0379049021789452,-0.0176090062917017,0,0.00979480025986567,0,0,0,0,0,0
"Row47",0.0379049021789452,-0.0178059853011955,0,0.0103919747772074,0,0,0,1.53307886090521e-06,0.16245284599002,0
"Row48",0.0379049021789452,-0.0184055570406221,0,0.0102851816237743,0,0,0,1.53854477142626e-06,0.165792804024938,0
"Row49",0.0379049021789452,-0.0184202396632982,0,0.00947415576069462,0,0,0,0,0,0
"Row50",0.0379049021789452,-0.01877781501648,0,0.00918362831434869,0,0,0,0,0,0
"Row51",0.0379049021789452,-0.0190599117687718,0,0.00891353383153209,0,0,0,0,0,0
"Row52",0.0379049021789452,-0.0199196184689688,0,0.00973508145054019,0,0,0,0,0,0
"Row53",0.0379049021789452,-0.0203967021391586,0,0.0100975424096628,0,0,0,1.62543830959342e-06,0.169707081464819,0
"Row54",0.0379049021789452,-0.0206742253722194,0,0.0101086738273983,0,0,0,1.65541207518953e-06,0.168767667765578,0
"Row55",0.0379049021789452,-0.0206592566704134,0,0.0099328484289608,0,0,0,0,0,0
"Row56",0.0379049021789452,-0.0208936375461246,0,0.0101604919786857,0,0,0,1.64025675608707e-06,0.168917108607789,0
"Row57",0.0379049021789452,-0.0215933476067683,0,0.0124939060495257,0,0,0,1.8420941870333e-06,0.169730582148593,0
"Row58",0.0379049021789452,-0.0217191096494586,0,0.0125785128472567,0,0,0,1.82075347651767e-06,0.170490700527222,0
"Row59",0.0379049021789452,-0.0217506699683071,0,0.0125584096130854,0,0,0,1.81229486972818e-06,0.170655326953566,0
"Row60",0.0379049021789452,-0.0217698230491219,0,0.0126182841147458,0,0,0,1.81599563539738e-06,0.170695477921575,0
"Row61",0.0379049021789452,-0.0217356177693339,0,0.012465150919569,0,0,0,1.81037572511086e-06,0.17085466719114,0
"Row62",0.0379049021789452,-0.0217361129636069,0,0.0124426085828866,0,0,0,1.81049994905568e-06,0.170908484572434,0
"Row63",0.0379049021789452,-0.0220559773751178,0,0.0124133845210192,0,0,0,1.80879486170907e-06,0.17089250038529,0
"Row64",0.0379049021789452,-0.022410173818853,0,0.0123347045708211,0,0,0,1.82111016930019e-06,0.171713646164647,0
"Row65",0.0379049021789452,-0.0223802652674174,0,0.0117955355359013,0,0,0,1.84498816657355e-06,0.170723201763951,0
"Row66",0.0379049021789452,-0.0226727331113482,0,0.0121686776960624,0,0,0,1.93713056363113e-06,0.168800140654508,0
"Row67",0.0379049021789452,-0.0229876043377469,0,0.0120555178755574,0,0,0,1.98262451463141e-06,0.165077971758488,0
"Row68",0.0379049021789452,-0.0229543014513269,0,0.0120645221957922,0,0,0,1.97436736425023e-06,0.165239601501265,0
