"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"Row0",0.0379049021789452,0,0,0,0,0,0,0,0,0
"Row1",0.0379049021789452,0,0,0,0,0,0,0,0,0
"Row2",0.0379049021789452,0,0,0,0,0,0,0,0,0
"Row3",0.0379049021789452,0,0,0,0,0,0,0,0,0
"Row4",0.0379049021789452,0,0,0,0,0,0,0,0,0
"Row5",0.0379049021789452,0,0,0,0,0,0,0,0,0
"Row6",0.0379049021789452,0,0,0,0,0,0,0,0,0
"Row7",0.0379049021789452,0,0,0,0,0,0,0,0,0
"Row8",0.0379049021789452,0,0,0,0,0,0,0,0,0
"Row9",0.0379049021789452,0,0,0,0,0,0,0,0,0
"Row10",0.0379049021789452,0,0,0,0,0,0,0,0,0
"Row11",0.0379049021789452,0,0,0,0,0,0,0,0,0
"Row12",0.0379049021789452,0,0,0,0,0,0,0,0,0
"Row13",0.0379049021789452,0,0,0,0,0,0,0,0,0
"Row14",0.0379049021789452,0,0,0,0,0,0,0,0,0
"Row15",0.0379049021789452,0,0,0,0,0,0,0,0,0
"Row16",0.0379049021789452,0,0,0,0,0,0,0,0,0
"Row17",0.0379049021789452,0,0,0,0,0,0,0,0,0
"Row18",0.0379049021789452,0,0,0,0,0,0,0,0,0
"Row19",0.0379049021789452,0,0,0,0,0,0,0,0,0
"Row20",0.0379049021789452,0,0,0,0,0,0,0,0,0
"Row21",0.0379049021789452,0,0,0,0,0,0,0,0,0
"Row22",0.0379049021789452,0,0,0,0,0,0,0,0,0
"Row23",0.0379049021789452,0,0,0,0,0,0,0,0,0
"Row24",0.0379049021789452,0,0,0,0,0,0,0,0,0
"Row25",0.0379049021789452,0,0,0,0,0,0,0,0,0
"Row26",0.0379049021789452,0,0,0,0,0,0,0,0,0
"Row27",0.0379049021789452,0,0,0,0,0,0,0,0,0
"Row28",0.0379049021789452,0,0.00818863780808674,0,0,0,0,0,0,0
"Row29",0.0379049021789452,0,0.00976191662024858,0,0,0,0,0,0,0
"Row30",0.0379049021789452,0,0.00981499925201624,0,0,0,0,0,0,0
"Row31",0.0379049021789452,0,0.0102188883343481,0,0,0,0,0,0,0
"Row32",0.0379049021789452,0,0.0123179735060307,0,0,0,0,0,0,0
"Row33",0.0379049021789452,0,0.0122990568241594,0,0,0,0,0,0,0
"Row34",0.0379049021789452,0,0.0139905572301401,0,0,0,0,0,0,0
"Row35",0.0379049021789452,0,0.0149415694250699,0,0,0,0,0,0,0
"Row36",0.0379049021789452,0,0.0162195012775209,0,0,0,0,0,0,0
"Row37",0.0379049021789452,0,0.0163318286855252,0,0,0,0,0,0,0
"Row38",0.0379049021789452,0,0.0167298906074273,0,0,0,0,0,0,0
"Row39",0.0379049021789452,0,0.0168304174954157,0,0,0,0,0,0,0
"Row40",0.0379049021789452,0,0.0171224243118009,0,0,0,0,0,0,0
"Row41",0.0379049021789452,0,0.0173943917595996,0,0,0,0,0,0,0
"Row42",0.0379049021789452,0,0.0180854954018941,0,0,0,0,0,0,0
"Row43",0.0379049021789452,0,0.0180163077851811,0,0,0,0,0,0,0
"Row44",0.0379049021789452,0,0.018324422806267,0,0,0,0,0,0,0
"Row45",0.0379049021789452,0,0.0187364961519752,0,0,0,0,0,0,0
"Row46",0.0379049021789452,0,0.0187304909943603,0,0,0,0,0,0,0
"Row47",0.0379049021789452,0,0.0190680031150668,0,0,0.00140774921008569,0,0,0,0
"Row48",0.0379049021789452,0,0.0198989938959088,0,0,0.00138009808666411,0,0,0,0
"Row49",0.0379049021789452,0,0.0199047155186206,0,0,0,0,0,0,0
"Row50",0.0379049021789452,0,0.0204547205800088,0,0,0,0,0,0,0
"Row51",0.0379049021789452,0,0.0209618944748134,0,0,0,0,0,0,0
"Row52",0.0379049021789452,0,0.0222212796726028,0,0,0,0,0,0,0
"Row53",0.0379049021789452,0,0.0230714647375974,0,0,0.00133070757919545,0,0,0,0
"Row54",0.0379049021789452,0,0.023506572952801,0,0,0.00134672430700427,0,0,0,0
"Row55",0.0379049021789452,0,0.0234951235596753,0,0,0.00132551380237262,0,0,0,0
"Row56",0.0379049021789452,0,0.0238431407266185,0,0,0.00133620942485213,0,0,0,0
"Row57",0.0379049021789452,0,0.0250835512858029,0,0,0.00180958413268869,0,0,0,0
"Row58",0.0379049021789452,0,0.0252253488738862,0,0,0.00180804528823795,0,0,0,0
"Row59",0.0379049021789452,0,0.0252629126445335,0,0,0.00179757936153844,0,0,0,0
"Row60",0.0379049021789452,0,0.0252948297151095,0,0,0.00180943721098955,0,0,0,0
"Row61",0.0379049021789452,0,0.025235552676104,0,0,0.0017780672651725,0,0,0,0
"Row62",0.0379049021789452,0,0.0252370659626845,0,0,0.00177369513564672,0,0,0,0
"Row63",0.0379049021789452,0,0.0256886826415699,0,0,0.00176440250646487,0,0,0,0
"Row64",0.0379049021789452,0,0.0261713913805746,0,0,0.00175439914108254,0,0,0,0
"Row65",0.0379049021789452,0,0.0261891936295343,0,0,0.00166160929029235,0,0,0,0
"Row66",0.0379049021789452,0,0.0267022228675444,0,0,0.00178770422619655,0,0,0,0
"Row67",0.0379049021789452,0,0.0272874051159196,0,0,0.00177640326047352,0,0,0,0
"Row68",0.0379049021789452,0,0.0272444014714545,0,0,0.0017694882678048,0,0,0,0
"Row69",0.0379049021789452,0,0.0273648450691069,0,0,0.00175287674419618,0,0,0,0
"Row70",0.0379049021789452,0,0.0271963972498713,0,0,0.00171126934263354,0,0,0,0
"Row71",0.0379049021789452,0,0.0271907582785427,0,0,0.00177029014270556,0,0,0,0
"Row72",0.0379049021789452,0,0.0276783916681072,0,0,0.00164157580547594,0,0,0,0
"Row73",0.0379049021789452,0,0.0276667179727483,0,0,0.0016282495240505,0,0,0,0
"Row74",0.0379049021789452,0,0.0279979338966457,0,0,0.00169850658501425,0,0,0,0
"Row75",0.0379049021789452,0,0.0282118473091136,0,0,0.00174479604743838,0,0,0,0
"Row76",0.0379049021789452,0,0.0302844191291668,0,0,0.00165550306229128,0,0,0,0
"Row77",0.0379049021789452,0,0.0319287791122858,0,0,0.00152783715309317,0,0,0,0
"Row78",0.0379049021789452,0,0.0324277283041572,0,0,0.00151502197485155,0,0,0,0
"Row79",0.0379049021789452,0,0.033279212475222,0,0,0,0,0,0,0
"Row80",0.0379049021789452,0,0.0333210095178573,0,0,0,0,0,0,0
"Row81",0.0379049021789452,0,0.0343819117511173,0,0,0,0,0,0,0
"Row82",0.0379049021789452,0,0.0355724697291062,0,0,0.00162838036336867,0,0,0,0
"Row83",0.0379049021789452,0,0.0365881609989475,0,0,0,0,0,0,0
"Row84",0.0379049021789452,0,0.0378546811824329,0,0,0,0,0,0,0
"Row85",0.0379049021789452,0,0.0387641281648714,0,0,0,0,0,0,0
"Row86",0.0379049021789452,0,0.0386811491928815,0,0,0,0,0,0,0
"Row87",0.0379049021789452,0,0.0387607819087392,0,0,0,0,0,0,0
